LogIdentifierID|LogServiceID|PrimaryFG
WARNER|3883|0
WEAT|3884|1
WFN|3885|1
WFNHD|3885|0
WILD|3886|1
WMOV|3664|0
WTN|3887|1
WTSN|3888|1
XCBLFT|3889|1
XCJBRT|3890|1
XTRM|3891|1
XXXX|3892|0
YOOP|3893|1
YTV|3894|1
ZECC|3895|1
ZEEP|3896|1
ZEETV|3897|1
ZEST|3898|1
ZING|3899|1
ZOOM|3900|1
ZTêLê|3232|1
